objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
photo,Kent_Monkman_Study_for_the_Sparrow,,,Study for the Sparrow,Kent Monkman,2021,acrylic on canvas,"painting,indigenous,residential schools",,,,,,image,,,,
photo,Lawren_Harris_Mt_Lefroy.jpg,,,Mt. Lefroy,,1930,oil on canvas,"painting,landscape,mountains",,,,,,image,,,,
photo,MM_gallery8.jpg,,,Gallery 8,,,,,,,,,,image,,,,
photo,MM_gallery_space.jpg,,,Gallery ,,,,,,,,,,image,,,,
photo,McMichael_cemetary.jpg,,,McMichael Cemetary,,,,,,,,,,image,,,,
photo,McMichael_entrace.jpg,,,McMichael Interior Entrance,,,,,,,,,,image,,,,
photo,McMichael_exterior1.jpg,,,McMichael Exterior,,,,,,,,,,image,,,,
photo,McMichael_exterior_main.jpg,,,McMichael Main Exterior,,,,,,,,,,image,,,,
photo,Sandra_Meigs_Sublime.jpg,,,Sublime Range,Sandra Meigs,,,,,,,,,image,,,,
photos,gallery_space.jpg,,,Gallery ,,,,,,,,,,image,,,,